# Thai abbreviation dictionary — kham-core built-in
# Format: abbreviated_form<TAB>primary_expansion[<TAB>alt_expansion...]
# Lines beginning with # and blank lines are ignored.
# Duplicate keys are merged (all expansions kept; last duplicate wins for primary).
#
# expand_text() performs greedy longest-first matching at runtime.
# Longer keys are tried first, so ศ.ดร. is matched before ศ. and ก.ค. before ก.

# ── Months (เดือน) ────────────────────────────────────────────────────────────
# Three-syllable abbreviations first (longest Thai+dot patterns)
มี.ค.	มีนาคม
เม.ย.	เมษายน
มิ.ย.	มิถุนายน
# Two-syllable abbreviations
ม.ค.	มกราคม
ก.พ.	กุมภาพันธ์
พ.ค.	พฤษภาคม
ก.ค.	กรกฎาคม
ส.ค.	สิงหาคม
ก.ย.	กันยายน
ต.ค.	ตุลาคม
พ.ย.	พฤศจิกายน
ธ.ค.	ธันวาคม

# ── Era (ศักราช) ──────────────────────────────────────────────────────────────
พ.ศ.	พุทธศักราช
ค.ศ.	คริสต์ศักราช
ม.ศ.	มหาศักราช
จ.ศ.	จุลศักราช

# ── Academic titles (ตำแหน่งวิชาการ) ────────────────────────────────────────
# Compound forms first so greedy match prefers ศ.ดร. over ศ.
ศ.ดร.	ศาสตราจารย์ดอกเตอร์
รศ.ดร.	รองศาสตราจารย์ดอกเตอร์
ผศ.ดร.	ผู้ช่วยศาสตราจารย์ดอกเตอร์
ดร.	ดอกเตอร์
ศ.	ศาสตราจารย์
รศ.	รองศาสตราจารย์
ผศ.	ผู้ช่วยศาสตราจารย์
# อ. is ambiguous (อาจารย์ vs อำเภอ); primary = อาจารย์ for academic context
อ.	อาจารย์	อำเภอ

# ── Administrative units (หน่วยการปกครอง) ───────────────────────────────────
จ.	จังหวัด
ต.	ตำบล
ถ.	ถนน
ซ.	ซอย
ม.	หมู่บ้าน

# ── Police ranks (ยศตำรวจ) ───────────────────────────────────────────────────
# Longer police forms (พล.ต.อ., พ.ต.อ., ร.ต.อ., ส.ต.อ.) shadow shorter Army
# forms (พล.ต., พ.ต., ร.ต., ส.ต.) via greedy longest-first matching.
พล.ต.อ.	พลตำรวจเอก
พล.ต.ท.	พลตำรวจโท
พล.ต.ต.	พลตำรวจตรี
พ.ต.อ.	พันตำรวจเอก
พ.ต.ท.	พันตำรวจโท
พ.ต.ต.	พันตำรวจตรี
ร.ต.อ.	ร้อยตำรวจเอก
ร.ต.ท.	ร้อยตำรวจโท
ร.ต.ต.	ร้อยตำรวจตรี
ด.ต.	ดาบตำรวจ
# จ.ส.ต. is shared by police (จ่าสิบตำรวจ) and army (จ่าสิบตรี)
จ.ส.ต.	จ่าสิบตำรวจ	จ่าสิบตรี
ส.ต.อ.	สิบตำรวจเอก
ส.ต.ท.	สิบตำรวจโท
ส.ต.ต.	สิบตำรวจตรี

# ── Army ranks (ยศทหารบก) ────────────────────────────────────────────────────
# ร.อ./ร.ท./ร.ต. are shared with Navy (เรือเอก/เรือโท/เรือตรี) and Air Force
# (เรืออากาศเอก/โท/ตรี); Army interpretation is primary here.
พล.อ.	พลเอก
พล.ท.	พลโท
พล.ต.	พลตรี
พ.อ.	พันเอก
พ.ท.	พันโท
พ.ต.	พันตรี
ร.อ.	ร้อยเอก
ร.ท.	ร้อยโท
ร.ต.	ร้อยตรี
จ.ส.อ.	จ่าสิบเอก
จ.ส.ท.	จ่าสิบโท
ส.อ.	สิบเอก
ส.ท.	สิบโท
ส.ต.	สิบตรี

# ── Navy admirals (ยศนายทหารเรือชั้นนายพล) ──────────────────────────────────
พล.ร.อ.	พลเรือเอก
พล.ร.ท.	พลเรือโท
พล.ร.ต.	พลเรือตรี

# ── Air Force generals (ยศนายทหารอากาศชั้นนายพล) ────────────────────────────
# พล.อ.อ./พล.อ.ท./พล.อ.ต. shadow Army พล.อ. by greedy longest-first matching.
พล.อ.อ.	พลอากาศเอก
พล.อ.ท.	พลอากาศโท
พล.อ.ต.	พลอากาศตรี

# ── State enterprises (รัฐวิสาหกิจ) ─────────────────────────────────────────
กฟผ.	การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย
กฟน.	การไฟฟ้านครหลวง
กฟภ.	การไฟฟ้าส่วนภูมิภาค
ปตท.	การปิโตรเลียมแห่งประเทศไทย
รฟท.	การรถไฟแห่งประเทศไทย
รฟม.	การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย
ทอท.	บริษัทท่าอากาศยานไทยจำกัดมหาชน
บขส.	บริษัทขนส่งจำกัด
ธ.ก.ส.	ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร
ธอส.	ธนาคารอาคารสงเคราะห์
กบข.	กองทุนบำเหน็จบำนาญข้าราชการ

# ── Government agencies (หน่วยงานรัฐ) ───────────────────────────────────────
กทม.	กรุงเทพมหานคร
กกต.	คณะกรรมการการเลือกตั้ง
ป.ป.ช.	คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ
ป.ป.ง.	สำนักงานป้องกันและปราบปรามการฟอกเงิน
สปสช.	สำนักงานหลักประกันสุขภาพแห่งชาติ
สพฐ.	สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน
สสส.	สำนักงานกองทุนสนับสนุนการสร้างเสริมสุขภาพ
