# Thai word → RTGS romanization
# Format: <thai_word><TAB><rtgs_romanization>
# Source: hand-curated from RTGS consonant/vowel tables + high-frequency TNC words
# Standard: Royal Thai General System of Transcription (ราชบัณฑิตยสภา)
# No tone marks; no vowel-length distinction in output
กก	kok
กงสุล	kongsun
กด	kot
กติกา	katika
กน	kon
กรณี	karani
กรม	krom
กรรม	kam
กราบ	krap
กริยา	kriya
กรุง	krung
กรุงเทพ	krungthep
กลาง	klang
กลาย	klai
กลับ	klap
กลม	klom
กลอน	klon
กลัว	klua
กลาง	klang
กว้าง	kwang
กวาด	kwat
กวน	kuan
กอง	kong
กอด	kot
กะ	ka
กัน	kan
กับ	kap
กา	ka
กาแฟ	kafae
กาย	kai
กาล	kan
กาว	kao
กำ	kam
กำจัด	kamchat
กำลัง	kamlang
กิจ	kit
กิน	kin
กิโล	kilo
กี่	ki
กีฬา	kila
กึ่ง	kueng
กุ้ง	kung
กุญแจ	kunche
เก่า	kao
เก็บ	kep
เกม	kem
เกาะ	ko
เกิด	koet
เกี่ยว	kiao
เกือบ	kueap
แก่	kae
แก้	kae
แกง	kaeng
โกรธ	krot
ใกล้	klai
ไก่	kai
ไกล	klai
ขน	khon
ขนม	khanom
ขนาด	khanat
ขบวน	khabuan
ขม	khom
ขยาย	khayai
ขอ	kho
ของ	khong
ขาว	khao
ขาย	khai
ขึ้น	khuen
ข้าว	khao
ข้าม	kham
ข้าง	khang
เข้า	khao
เขียน	khian
แขน	khaen
ไข้	khai
คน	khon
คนละ	khonla
ความ	khwam
คลอง	khlong
คลิก	khlik
คล้าย	khlai
คอ	kho
คอม	khom
คอมพิวเตอร์	khomphiutoe
ครั้ง	khrang
ครัว	khrua
ครู	khru
คลาส	khlas
คล้าย	khlai
คำ	kham
คิด	khit
คุณ	khun
คุย	khui
คู่	khu
เค้า	khao
เคย	khoei
เครื่อง	khrueang
แคบ	khaep
โคม	khom
งาน	ngan
งู	ngu
เงิน	ngoen
จน	chon
จบ	chop
จริง	ching
จอ	cho
จะ	cha
จัด	chat
จับ	chap
จาก	chak
จาน	chan
จำ	cham
จิต	chit
จิตรกรรม	chitrakam
จิตวิทยา	chittawitthaya
จีน	chin
จุด	chut
จูง	chung
เจ็บ	chep
เจ้า	chao
เจ็ด	chet
เจ็ดสิบ	chetsip
แจก	chaek
โจร	chon
ใจ	chai
ไจ	chai
ชน	chon
ชม	chom
ชอบ	chop
ชั้น	chan
ชาติ	chat
ชาย	chai
ชาวบ้าน	chaoban
ชิ้น	chin
ชื่อ	chue
ชุด	chut
ช่วย	chuai
ช้าง	chang
เช่น	chen
เชื่อ	chuea
แชมป์	chaem
โชค	chok
ซื้อ	sue
ซุ้ม	sum
เซ็น	sen
ญาติ	yat
ดี	di
ดิน	din
ดึง	dueng
ดื่ม	duem
ดู	du
ด้าน	dan
ด้วย	duai
เด็ก	dek
เดิน	doen
เดียว	diao
เดือน	duean
แดง	daeng
โดย	doi
ใด	dai
ไดนามิก	dinamik
ต่าง	tang
ตน	ton
ตรง	trong
ตลาด	talat
ตั้ง	tang
ตาม	tam
ตี	ti
ตุลาคม	tulakom
เต้น	ten
เตรียม	triam
เติม	toem
แต่	tae
แต่ละ	taela
โต	to
ถนน	thanon
ถ้า	tha
ถาม	tham
ถูก	thuk
ถึง	thueng
ทด	thot
ทน	thon
ทราบ	sap
ทวี	thawi
ทอง	thong
ทะเล	thale
ทั้ง	thang
ทาง	thang
ทำ	tham
ทำให้	thamhai
ที่	thi
ทีม	thim
ทุก	thuk
ทุน	thun
เท่า	thao
เที่ยว	thiao
เทียม	thiam
แทน	thaen
โทร	tho
นก	nok
นั้น	nan
นัด	nat
นาน	nan
นาย	nai
นิตยสาร	nittayasan
นี้	ni
นึก	nuek
นู่น	nun
เนื้อ	nuea
แน่	nae
โน้ต	not
น้อง	nong
น้ำ	nam
น้ำใจ	namchai
น้ำตา	namta
บ้าน	ban
บน	bon
บวก	buak
บอก	bok
บ่อ	bo
บ่าย	bai
บิน	bin
บุก	buk
เบา	bao
เบียร์	bia
แบบ	baep
โบ	bo
ใบ	bai
ประ	pra
ประชาชน	prachaochon
ประชุม	prachum
ประเทศ	prathet
ประวัติ	prawat
ปลา	pla
ปลาย	plai
ปลูก	pluk
ปัญหา	panha
ป้าย	pai
ปี	pi
เปิด	poet
เปิดเผย	poetphoei
เป็น	pen
เปลี่ยน	plian
เปล่า	plao
แปลก	plaek
โปรด	prot
ผล	phon
ผลิต	phalit
ผ่าน	phan
เผชิญ	phachoen
เผย	phoei
แผน	phaen
พก	phok
พน	phon
พบ	phop
พม่า	phama
พระ	phra
พลัง	phalang
พวก	phuak
พัก	phak
พัฒนา	phattana
พาน	phan
พิมพ์	phim
พื้น	phuen
เพิ่ม	phoem
เพื่อ	phuea
แพง	phaeng
โพธิ์	pho
ไพ่	phai
ไฟ	fai
ฝ่าย	fai
ฝึก	fuek
ฝ้าย	fai
ฟัง	fang
ฟ้า	fa
ฟิล์ม	film
เฝ้า	fao
ภาพ	phap
ภาษา	phasa
ภาษาไทย	phasathai
ภาค	phak
มา	ma
มาก	mak
มาตรฐาน	mattrathan
มือ	mue
มี	mi
มุก	muk
มุม	mum
เม็ด	met
เมือง	mueang
เมีย	mia
แม่	mae
แมว	maeo
โมง	mong
ใหม่	mai
ไม่	mai
ไม้	mai
ไทย	thai
ยน	yon
ยา	ya
ยาว	yao
ยิน	yin
ยืน	yuen
เยื่อ	yuea
แยก	yaek
โยน	yon
ไย	yai
ร้อน	ron
รัก	rak
รับ	rap
รัฐ	rat
รัฐบาล	ratthaban
รัฐมนตรี	ratthamontri
ราก	rak
ราคา	rakha
ราย	rai
ริน	rin
รีบ	rip
รื้อ	rue
ร้าน	ran
ร้าย	rai
เริ่ม	roem
เรียก	riak
เรียน	rian
เรื่อง	rueang
แรง	raeng
โรค	rok
โรง	rong
โรงเรียน	rongriam
ล้ม	lom
ลง	long
ลน	lon
ลอย	loi
ลอง	long
ลาก	lak
ลำ	lam
ลิ้น	lin
ลึก	luek
ลุก	luk
เล็ก	lek
เล่น	len
เลย	loei
เลือก	lueak
เลือด	lueat
แล้ว	laeo
โลก	lok
ไล่	lai
วัน	wan
วาด	wat
วาง	wang
วิ่ง	wing
วิทยาลัย	witthayalai
วิทยาศาสตร์	witthayasat
วิธี	withi
วิ่ง	wing
เว็บ	wep
ไว้	wai
สน	son
สนุก	sanuk
สบาย	sabai
สม	som
สร้าง	sang
สวน	suan
สวย	suai
สังคม	sangkhom
สั้น	san
สาม	sam
สาย	sai
สิ่ง	sing
สี่	si
สุข	suk
สูง	sung
เส้น	sen
เสริม	soem
เสือ	suea
แสง	saeng
โสด	sot
ใส่	sai
ไส้	sai
หน้า	na
หนัก	nak
หนาว	nao
หนี	ni
หนู	nu
หมด	mot
หมู่	mu
หยุด	yut
หลัง	lang
หลาย	lai
หวาน	wan
หัว	hua
หาก	hak
อยู่	yu
อย่าง	yang
อาจ	at
อาชีพ	achip
อาคาร	akhan
อาหาร	ahan
อาหารไทย	ahanthai
อาณาจักร	anachak
อินเทอร์เน็ต	inthoenet
อีก	ik
อื่น	uen
อุ่น	un
เอา	ao
เอาใจ	aochai
แอน	aen
แอป	aep
ใหญ่	yai
ฮวงซุ้ย	huangsui
